38459.city,MIRAMAR BEACH,ST FRANCIS
1584.address1,801 S MAIN ST,1301 BELLEVILLE AVENUE
40019.stateavg,CA_PN-4,KY_AMI-3
29537.stateavg,IL_SCIP-INF-3,IL_AMI-2
2469.address1,1044 N FRANCISCO AVE,215 PERRY HILL ROAD
7399.city,JASPER,FRESNO
36737.condition,Surgical Infection Prevention,Heart Attack
19014.condition,Heart Failure,Surgical Infection Prevention
40097.condition,Pneumonia,Heart Attack
20028.condition,Surgical Infection Prevention,Heart Failure
26009.city,PORTERVILLE,WAHIAWA
34676.address1,60 EASTER AVENUE,515 COLLEGE STREET
44639.stateavg,IN_PN-4,LA_PN-5C
2113.condition,Heart Failure,Pneumonia
21830.address1,2122 MANCHESTER EXPRESSWAY,700 MEDICAL BLVD
8777.city,OCEANSIDE,FONTANA
20419.address1,40100 HWY 27,5900 COLLEGE ROAD
26773.measurename,Pneumonia Patients Given Smoking Cessation Advice/Counseling,surgery patients who were given the  right kind  of antibiotic to help prevent infection
44592.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
17281.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
30134.city,RUMFORD,CHICAGO
3396.stateavg,MI_SCIP-VTE-1,AZ_SCIP-INF-1
44591.measurename,Heart Attack Patients Given Smoking Cessation Advice/Counseling,Pneumonia Patients Assessed and Given Influenza Vaccination
15993.hospitaltype,Acute Care Hospitals,Acute Care - VA Medical Center
2818.stateavg,IA_SCIP-INF-2,AK_AMI-3
6.city,WELLINGTON,BIRMINGHAM
11182.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
35755.measurename,Children Who Received Reliever Medication While Hospitalized for Asthma,Heart Attack Patients Given Smoking Cessation Advice/Counseling
2437.city,LA PORTE,ATMORE
7137.condition,Surgical Infection Prevention,Heart Attack
16456.measurename,Pneumonia Patients Given Smoking Cessation Advice/Counseling,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery
18013.measurename,Children Who Received Reliever Medication While Hospitalized for Asthma,Heart Attack Patients Given Beta Blocker at Discharge
21425.stateavg,KY_PN-4,FL_HF-2
27934.stateavg,AR_PN-5C,IL_AMI-7A
47355.measurename,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
38076.city,AVALON,WICHITA
16080.condition,Pneumonia,Surgical Infection Prevention
28029.measurename,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor)
36365.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
12207.stateavg,KS_AMI-7A,CA_AMI-4
33665.measurename,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),Heart Attack Patients Given Beta Blocker at Discharge
37869.condition,Heart Failure,Surgical Infection Prevention
5861.city,LONG BEACH,FAYETTEVILLE
12594.measurename,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)
11425.measurename,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),surgery patients who were given the  right kind  of antibiotic to help prevent infection
6151.measurename,Heart Attack Patients Given Aspirin at Arrival,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
23335.condition,Pneumonia,Surgical Infection Prevention
26117.stateavg,GA_PN-6,HI_AMI-7A
11937.condition,Surgical Infection Prevention,Pneumonia
8001.condition,Surgical Infection Prevention,Heart Attack
40849.address1,655 W 8TH ST,1210 KY HWY 36 E
18918.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
30024.city,SITKA,MARYVILLE
34687.city,INDEPENDENCE,CEDAR FALLS
18762.condition,Pneumonia,Children&#8217;s Asthma Care
44707.city,INDIO,PINEVILLE
6178.address1,22 BRAMHALL ST,1341 WEST SIXTH STREET
28437.measurename,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival
1609.condition,Surgical Infection Prevention,Pneumonia
32666.city,MUNCIE,LAWRENCEBURG
49610.measurename,Heart Attack Patients Given Beta Blocker at Discharge,Heart Attack Patients Given Aspirin at Arrival
41714.city,NATCHITOCHES,CARROLLTON
4654.condition,Pneumonia,Heart Attack
45253.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
22230.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
11483.stateavg,MI_AMI-8A,CA_AMI-3
43373.city,LANHAM,MARKSVILLE
15134.condition,Surgical Infection Prevention,Heart Attack
8649.address1,826  18TH STREET,438 W LAS TUNAS DRIVE
24306.stateavg,KY_SCIP-VTE-1,GA_AMI-3
24146.address1,750 W AVE D,521 HILL STREET; SW
3831.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
22259.address1,2021 PERDIDO ST  4FLOOR,8330 LAKEWOOD RANCH BOULEVARD
16987.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
14756.address1,1530 LONE OAK ROAD,43563 HWY 299 EAST
46366.city,CORTEZ,TAKOMA PARK
42385.condition,Heart Attack,Surgical Infection Prevention
25780.condition,Heart Attack,Surgical Infection Prevention
18107.address1,9003 EAST SHEA BOULEVARD,110 IRVING ST NW
17798.stateavg,IL_AMI-8A,CT_SCIP-VTE-1
31557.measurename,Heart Attack Patients Given Aspirin at Discharge,Pneumonia Patients Assessed and Given Influenza Vaccination
4582.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
7405.hospitaltype,Acute Care - VA Medical Center,Acute Care Hospitals
16579.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
28340.stateavg,LA_SCIP-INF-6,IL_HF-2
10475.condition,Pneumonia,Surgical Infection Prevention
38098.address1,205 EAST JEFFERSON STREET,401 SOUTH SANTA FE AVENUE
48950.city,CAMPBELLSVILLE,KALAMAZOO
49344.city,HYDEN,ANN ARBOR
19227.address1,200 EXEMPLA CIRCLE,1500 SW FIRST AVE
13476.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
45414.stateavg,IN_SCIP-INF-6,ME_AMI-1
11332.measurename,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,Heart Attack Patients Given Aspirin at Discharge
7929.city,PHOENIX,SONOMA
44652.condition,Surgical Infection Prevention,Heart Attack
7926.condition,Surgical Infection Prevention,Heart Attack
24147.address1,1600 S ANDREWS AVE,521 HILL STREET; SW
11827.stateavg,CA_PN-5C,CA_HF-4
35989.city,COLORADO SPRINGS,KEOSAUQUA
36973.condition,Heart Failure,Pneumonia
43800.address1,20 HARTFORD STREET,1000 WALTERS STREET
22708.address1,1341 WEST SIXTH STREET,1200 NORTHSIDE FORSYTH DRIVE
17597.city,NAMPA,BRISTOL
27199.stateavg,FL_SCIP-INF-3,IL_PN-5C
13533.address1,1350 S HICKORY ST,1500 SAN PABLO ST
9585.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
35182.city,HARBOR CITY,SIOUX CITY
38727.city,HONOLULU,HILL CITY
17658.condition,Surgical Infection Prevention,Heart Failure
11812.city,FAYETTEVILLE,MODESTO
36473.stateavg,IN_AMI-7A,IA_PN-7
5335.measurename,Heart Failure Patients Given Discharge Instructions,Heart Attack Patients Given Smoking Cessation Advice/Counseling
15978.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
22429.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
45930.stateavg,IA_PN-7,MD_PN-3B
36069.stateavg,IL_AMI-7A,IA_SCIP-CARD-2
33373.measurename,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
45649.condition,Heart Attack,Heart Failure
44939.stateavg,AR_AMI-3,LA_PN-5C
6027.measurename,surgery patients who were given the  right kind  of antibiotic to help prevent infection,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
15927.measurename,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,Pneumonia Patients Assessed and Given Influenza Vaccination
1966.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
23791.stateavg,ID_SCIP-INF-2,GA_PN-6
37937.address1,4901 COLLEGE BLVD,445 N HILLTOP
28452.condition,Pneumonia,Surgical Infection Prevention
40145.stateavg,CA_HF-4,KY_SCIP-INF-4
36407.stateavg,LA_SCIP-CARD-2,IA_AMI-1
21.address1,81 BALL PARK ROAD,1108 ROSS CLARK CIRCLE
35618.measurename,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,Pneumonia Patients Assessed and Given Influenza Vaccination
4343.condition,Pneumonia,Surgical Infection Prevention
18394.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
43508.city,JACKSONVILLE,BASTROP
16240.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
4306.city,BATON ROUGE,PHOENIX
28857.condition,Heart Failure,Surgical Infection Prevention
19896.condition,Surgical Infection Prevention,Heart Attack
19829.address1,1600 W AVE J,1000 36TH ST
20394.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
786.address1,1141 HOSPITAL DR NW,101 SIVLEY RD
6620.stateavg,IA_HF-3,AR_AMI-2
8636.measurename,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
38420.stateavg,CA_PN-2,KS_SCIP-INF-3
12339.address1,911 SUNSET DRIVE,2000 SUTTER PLACE
12677.measurename,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
19080.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
25967.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
19730.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
33.measurename,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,Pneumonia Patients Given Smoking Cessation Advice/Counseling
45211.condition,Pneumonia,Heart Failure
6307.measurename,Pneumonia Patients Given Smoking Cessation Advice/Counseling,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery
37364.address1,18101 OAKWOOD BLVD,20375 W 151ST ST #303
13168.measurename,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),Pneumonia Patients Assessed and Given Pneumococcal Vaccination
27298.address1,1350 S HICKORY ST,100 EAST LEFEVRE ROAD
27460.condition,Heart Attack,Surgical Infection Prevention
45247.measurename,Pneumonia Patients Given Smoking Cessation Advice/Counseling,surgery patients who were given the  right kind  of antibiotic to help prevent infection
14160.condition,Heart Attack,Surgical Infection Prevention
2806.measurename,surgery patients who were given the  right kind  of antibiotic to help prevent infection,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)
31581.address1,1100 HIGHLAND DRIVE,801 E LASALLE AVENUE
40577.measurename,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
16182.address1,326 WASHINGTON ST,181 W MEADOW DRIVE
821.hospitaltype,Acute Care - VA Medical Center,Acute Care Hospitals
33386.stateavg,DE_SCIP-INF-6,IN_AMI-1
4536.address1,13677 WEST MCDOWELL ROAD,3601 SOUTH SIXTH AVENUE
43518.address1,408 DELAWARE ST,207 JEFFERSON STREET
7091.stateavg,LA_PN-5C,CA_HF-2
12182.hospitaltype,Acute Care - VA Medical Center,Acute Care Hospitals
11226.stateavg,AR_SCIP-INF-4,CA_SCIP-INF-3
37565.condition,Pneumonia,Heart Attack
19028.measurename,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,Heart Failure Patients Given Discharge Instructions
16097.hospitaltype,Acute Care - VA Medical Center,Acute Care Hospitals
43789.city,GARDEN CITY,WEST MONROE
3559.address1,3630 GUION RD,2200 SHOW LOW LAKE ROAD
3360.measurename,Heart Attack Patients Given Aspirin at Arrival,Heart Failure Patients Given Discharge Instructions
28315.condition,Heart Attack,Heart Failure
29920.address1,7601 OSLER DRIVE,2701 17TH ST
17507.city,BOSTON,HARTFORD
30025.stateavg,AL_SCIP-INF-4,IL_AMI-8A
23415.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
24447.city,RUSTON,SALMON
45536.condition,Heart Attack,Surgical Infection Prevention
19148.address1,15155 HIGHWAY 43,2190 HIGHWAY 85 NORTH
22587.measurename,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
13752.condition,Surgical Infection Prevention,Pneumonia
40894.measurename,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
3500.city,BLOOMINGTON,KINGMAN
26449.address1,28 CRESCENT ST,1512 TWELFTH AVENUE ROAD
42989.address1,50 STERLING AVENUE,1701 OAK PARK BLVD
48131.stateavg,AR_PN-2,MA_AMI-3
826.stateavg,MI_AMI-3,AL_SCIP-VTE-1
25308.city,ALBANY,NEWNAN
26722.stateavg,CA_PN-7,ID_SCIP-INF-6
16936.city,MONROE,WOODLAND PARK
2181.city,ORANGE PARK,JACKSONVILLE
25892.stateavg,IN_SCIP-INF-2,GA_HF-3
34480.condition,Surgical Infection Prevention,Pneumonia
45034.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
35411.city,HOISINGTON,HAMPTON
22081.address1,400 CHARTER BOULEVARD,1309 N FLAGLER DR
19468.city,PINEVILLE,TAMPA
11050.address1,1000 RUSH DRIVE,250 BON AIR ROAD; PO BOX 8010
46005.address1,9901 MEDICAL CTR DR,400 WEST SEVENTH ST
27859.condition,Surgical Infection Prevention,Heart Failure
11202.city,EVANSTON,SAN JOSE
20030.city,MONROEVILLE,BARTOW
21641.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
39986.city,HONOLULU,PRESTONSBURG
22071.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
39628.city,HASTINGS,IOLA
19815.condition,Pneumonia,Surgical Infection Prevention
17088.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
1677.address1,4888 NORTH STONE AVENUE,701 PRINCETON AVENUE SOUTHWEST
42454.stateavg,LA_PN-2,LA_PN-5C
309.address1,400 W MINERAL KING AVE,1720 UNIVERSITY BLVD
6222.measurename,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,Heart Failure Patients Given Discharge Instructions
33062.stateavg,CO_HF-4,IN_AMI-5
9001.city,LAKELAND,FULLERTON
35470.condition,Pneumonia,Surgical Infection Prevention
36528.stateavg,GA_SCIP-VTE-2,IA_SCIP-INF-4
7247.address1,517 NORTH MAIN STREET,1306 MARICOPA HWY
29137.measurename,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,Heart Attack Patients Given Aspirin at Discharge
34166.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
41348.address1,200 MED CENTER DRIVE,HIGHWAY 644 PO BOX 769
8720.measurename,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
9560.condition,Pneumonia,Heart Failure
30026.stateavg,CA_SCIP-INF-6,IL_HF-1
1259.condition,Surgical Infection Prevention,Heart Attack
10300.condition,Heart Failure,Surgical Infection Prevention
15678.stateavg,AL_AMI-1,CO_AMI-8A
19198.stateavg,AK_SCIP-CARD-2,FL_SCIP-INF-4
1387.stateavg,CA_AMI-5,AL_AMI-4
48147.stateavg,IN_AMI-1,MA_SCIP-INF-1
42186.condition,Heart Attack,Surgical Infection Prevention
33382.hospitaltype,Acute Care - VA Medical Center,Acute Care Hospitals
11727.city,ANNAPOLIS,SAN FRANCISCO
35185.city,LEHIGH ACRES,SIOUX CITY
18920.city,COCHRAN,DELAND
13447.address1,131 HOSPITAL DRIVE,6001 NORRIS CANYON ROAD
3419.measurename,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,Pneumonia Patients Assessed and Given Influenza Vaccination
14505.address1,202 HOSPITAL STREET,4501 SAND CREEK ROAD
8717.condition,Pneumonia,Surgical Infection Prevention
39419.measurename,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,Heart Failure Patients Given Discharge Instructions
17522.address1,300 WEST HUTCHINGS STREET,80 SEYMOUR STREET
20984.measurename,Heart Attack Patients Given Beta Blocker at Discharge,Heart Attack Patients Given Smoking Cessation Advice/Counseling
46663.city,NORTH VERNON,ELKTON
